"80","1","Habiletés comportementales","Montre un comportement adéquat en classe (déplacements en classe)","L'élève est calme et son comportement est adéquat en classe","L'élève bouge un peu mais se calme avec l'intervention de l'adulte","L'élève est agité et il perturbe le déroulement de la classe","2024-04-17 01:47:40","2024-04-17 01:47:40"
"81","1","Habiletés comportementales","Calendrier-Horaire-Conscience des activités de la journée","L'élève suit adéquatement son horaire","L'élève suit son horaire de la journée mais a besoin dun rappel de l'adulte","L'élève ne suit pas son horaire, il faut l'aide de l'adulte pour qu'il le suive","2024-04-17 01:47:40","2024-04-17 23:06:02"
"82","1","Habiletés comportementales","Fait l'activité ou la tache demandée par l'adulte","L'élève réalise les tâches demandées par l'adulte","L'élève a besoin du support de l'adulte pour réaliser les tâches qui lui sont demandées","L'élève n'arrive pas à réaliser les tâches demandées par l'adulte malgée l'aide de celui-ci","2024-04-17 01:47:40","2024-04-17 23:06:34"
"83","1","Habiletés comportementales","Démontre de la persévérence dans la réalisation de la tache","L'élève montre de la persévérence dans la réalisation de sa tâche","L'élève montre peu de persévérence dans la réalisation de sa tâche, il doit être encouragé par l'adulte pour le faire","L'élève ne persévère pas dans la tâche et ne la réalise pas.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"84","1","Habiletés comportementales","Se met en danger ou met les autres en danger (grimpe-frappe-lance…)","L'élève ne se met pas, ni ne met les autres en danger","L'élève peut se mettre et/ou mettre les autres en danger mais arrête le comportement avec l'intervention de l'adulte","L'élève se met ou à tendance à mettre les autres en danger malgré l'intervention de l'adulte","2024-04-17 01:47:40","2024-04-18 12:11:59"
"85","1","Habiletés comportementales","Fait de l'autostimulation (Flapping-Utilisation d'objets et/ou de son corps de facon non fonctionnelle)","L'élève ne fait pas d'autostimulation.","L'élève s'autostimule parfois par l'utilisation d'objets et/ou en bougeant des parties de son corps de façon non fonctionnelle","L'élève s'autostimule souvent par l'utilisation d'objets et/ou en bougeant des parties de son corps de façon non fonctionnelle","2024-04-17 01:47:40","2024-04-17 01:47:40"
"86","1","Habiletés comportementales","Montre de l'intérêt restreint (Focus sur les memes objets-gestes), refuse les transitions, montre de la difficulté à passer à une autre activité.","L'élève ne montre pas d'intérêts restreints et accepte les transitions liées au passage d'une activité à une autre","Les transitions sont un peu délicates mais, avec l'aide de l'adulte, l'élève accepte le passage d'une activité à une autre","L'élève montre de l'intérêt restreint pour certains objets et, a de la difficulté à passer d'une activité à une autre","2024-04-17 01:47:40","2024-04-18 12:13:30"
"87","1","Habiletés d'autonomie","Routine Repas-Boit/Mange seul-Utilise des ustensiles pour boire et manger (ouvrir/fermer contenants)","La routine des repas est acquise, l'élève est capable de manger, boire et utiliser les ustensiles seul","La routine des repas est en cours d'acquisition; L'élève est capable de manger, boire et utiliser les ustensiles avec des rappels de l'adulte","La routine des repas n'est pas acquise, l'élève n'est pas capable de manger, boire et utiliser les ustensiles seul","2024-04-17 01:47:40","2024-04-18 12:15:12"
"88","1","Habiletés d'autonomie","Routine Propreté-Exprime des signes de besoin d'aller aux toilettes.","Concernant la routine de la propreté, l'élève exprime son besoin d'aller aux toilettes","Concernant la routine de la propreté, avec l'aide de l'adulte, l'élève arrive à exprimer son besoin d'aller aux toilettes","Concernant la routine de la propreté, l'élève n'exprime pas son besoin d'aller aux toilettes","2024-04-17 01:47:40","2024-04-18 00:25:36"
"89","1","Habiletés d'autonomie","Routine Propreté-Toilettes (Baisser/remontrer pantalon-S'assoire-S'essuiyer-Lavage des mains)","L'élève suit adéquatement la routine des toilettes (baisser)","La routine des toilettes est en cours d'acquisiton, l'élève a besoin d'aide pour suivre les étapes (baisser/remonter pantalon, s'asseoir, s'essuyer-laver les mains)","L'élève ne suit pas la routine des toilettes (baisser/remonter pantalon, s'asseoir, s'essuyer-laver les mains) malgré l'aide de l'adulte","2024-04-17 01:47:40","2024-04-18 00:25:50"
"90","1","Habiletés d'autonomie","Routine habillage-Enlever/remettre chaussettes-chaussures-habits","L'élève est capable d'accomplir des séances d'habillage (enlever/remettre ses habits, ses chaussures, ses chaussettes)","L'élève arrive avec l'aide de l'adulte à accomplir des séances d'habillage (enlever/remettre ses habits, ses chaussures)","L'élève n'est pas capable d'accomplir des séances d'habillage (enlever/remettre ses habits, ses chaussures, ses chaussettes) malgré l'aide de l'adulte","2024-04-17 01:47:40","2024-04-18 00:26:03"
"91","1","Habiletés d'autonomie","Suivre son horaire journalier sans rappel","L'élève suit son horaire de façon autonome","Avec de l'aide de l'adulte, l'élève réussi à suivre son horaire","L'élève ne suit pas son horaire malgré l'aide de l'adulte","2024-04-17 01:47:40","2024-04-18 00:26:27"
"92","1","Difficultés sensorielles","Montre des difficultés sensorielles marquées (toucher, gout, odorat, ouie, vue)","L'élève ne montre aucune difficultés sensorielles marquées (toucher, gout, odorat, ouie, vue)","L'élève montre quelques difficultés sensorielles (toucher, gout, odorat, ouie, vue).","L'élève montre de fortes difficultés sensorielles (toucher, gout, odorat, ouie, vue).","2024-04-17 01:47:40","2024-04-17 01:47:40"
"93","1","Difficultés sensorielles","Aime/apprécie les chatouilles","L'élève apprécie les chatouilles","L'élève réagit modérément aux chatouilles.","L'élève n'aime pas les chatouilles.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"94","1","Habiletés d'attention","S'assoit seul sur une chaise","L'élève est capable de s'assoir seul sur une chaise le temps d'une activité éducative","Avec l'aide de l'adulte, l'élève reste assis le temps d'une activité éducative","Malgré l'aide de l'adulte, l'élève n'est pas capable de s'assoir sur une chaise le temps d'une activité éducative","2024-04-17 01:47:40","2024-04-18 00:26:56"
"95","1","Habiletés d'attention","Fait un contact visuel en réponse à la consigne: Regarde-moi","L'élève fait un contact visuel en réponse à la consigne ""Regarde-moi""","Avec insistance de l'adulte, l'élève arrive à faire un contact visuel avec l'adulte en réponse à la consigne ""Regarde-moi""","Malgré l'insistance de l'adulte, l'élève ne fait pas de contact visuel en réponse à la consigne ""Regarde-moi""","2024-04-17 01:47:40","2024-04-18 12:17:43"
"96","1","Habiletés d'imitation","Imite des gestes (taper des mains, essuyer avec un mouchoir/torchon, toucher son nez, etc.)","L'élève est capable d'imiter les gestes comme taper des mains, essuyer avec un mouchoir, toucher son nez.","Avec l'aide de l'adulte, l'élève imite quelques gestes comme taper des mains, essuyer avec un mouchoir, toucher son nez.","Malgré l'aide de l'adulte, l'élève n'est pas capable d'imiter les gestes comme taper des mains, essuyer avec un mouchoir, toucher son nez.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"97","1","Habiletés d'imitation","Imite des actions (mouvements : rouler une voiture, faire voler un avions, souffler en faisant des bulles)","L'élève est capable d'imiter des actions telles que rouler une voiture, faire voler un avion, souffler en faisant des bulles","Avec aide de l'adulte, l'élève imite quelques actions telles que rouler une voiture, faire voler un avion, souffler en faisant des bulles.","Malgré l'aide de l'adulte, l'élève n'est pas capable d'imiter des actions telles que rouler une voiture, faire voler un avion, souffler en faisant des bulles.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"98","1","Habiletés d'imitation","Imite des sons (bruits-sons-mélodies)","L'élève est capable d'imiter des sons tels que des sons d'animaux ou des mélodies.","Avec aide de l'adulte, l'élève imite quelques sons tels que des sons d'animaux ou des mélodies","Malgré l'aide de l'adulte, l'élève n'est pas capable d'imiter des sons tels que des sons d'animaux ou des mélodies. ","2024-04-17 01:47:40","2024-04-17 01:47:40"
